,Species,2007,2008,2009,2010,2011,2012,2013,2014
NAK,Helarctos malayanus,,,0.006012024,0.006012024,0.006012024,0.006012024,0.018036072,
PSH,Helarctos malayanus,,,,,0.07214429,0.04208417,0.018036072,0.02004008
RNF,Hemicentetes nigriceps,,,,0.068136273,0.006012024,0.018036072,0.006012024,
RNF,Hemicentetes semispinosus,,,,0.006012024,0.02004008,0.006012024,0.034068136,
BBS,Hemigalus derbyanus,,,0.006012024,0.052104208,0.120240481,0.044088176,0.101202405,
PSH,Hemigalus derbyanus,,,,,0.14028056,0.11823647,0.102204409,0.052104208
BBS,Herpestes brachyurus,,,0.006012024,0.006012024,0.006012024,0.024048096,0.006012024,
PSH,Herpestes brachyurus,,,,,0.1743487,0.07815631,0.0501002,0.006012024
KRP,Herpestes naso,,,,,0.616666667,0.6,0.5,
NNN,Herpestes naso,,,0.609375,0.234375,0.0625,0.015625,0.015625,
NAK,Herpestes urva,,,0.006012024,0.006012024,0.082164329,0.018036072,0.018036072,
BCI,Hoplomys gymnurus,,,,0.006012024,0.006012024,0.102204409,0.074148297,0.006012024
KRP,Hyemoschus aquaticus,,,,,0.052104208,0.052104208,0.034068136,
NNN,Hyemoschus aquaticus,,,0.034068136,0.02004008,0.034068136,0.006012024,0.018036072,
NNN,Hylochoerus meinertzhageni,,,0.006012024,0.006012024,0.034068136,0.006012024,0.006012024,
UDZ,Hystrix africaeaustralis,,,0.086172345,0.02004008,0.006012024,0.018036072,0.006012024,0.036072144
BBS,Hystrix brachyura,,,0.333333333,0.483333333,0.566666667,0.416666667,0.383333333,
NAK,Hystrix brachyura,,,0.02004008,0.052104208,0.052104208,0.068136273,0.072144289,
PSH,Hystrix brachyura,,,,,0.26666667,0.35,0.416666667,0.316666667
BBS,Lariscus insignis,,,0.068136273,0.02004008,0.078156313,0.133266533,0.042084168,
PSH,Lariscus insignis,,,,,0.20440882,0.11823647,0.066132265,0.036072144
BCI,Leopardus pardalis,,,,0.883333333,0.716666667,0.733333333,0.733333333,0.716666667
CAX,Leopardus pardalis,,,,0.566666667,,0.483333333,0.45,0.416666667
COU,Leopardus pardalis,,,,,0.533333333,0.566666667,0.866666667,0.65
CSN,Leopardus pardalis,,0.716666667,0.616666667,0.633333333,0.6,0.566666667,0.633333333,0.516666667
VB,Leopardus pardalis,0.174348697,0.102204409,0.090180361,0.036072144,0.118236473,0.04008016,0.068136273,0.056112224
YAN,Leopardus pardalis,,,,,0.492063492,0.53968254,0.634920635,0.571428571
YAS,Leopardus pardalis,,,,,0.966666667,0.95,0.966666667,1
COU,Leopardus tigrinus,,,,,0.006012024,0.006012024,0.088176353,0.006012024
CSN,Leopardus tigrinus,,0.006012024,0.006012024,0.036072144,0.006012024,0.006012024,0.006012024,0.02004008
BCI,Leopardus wiedii,,,,0.006012024,0.006012024,0.018036072,0.02004008,0.006012024
CAX,Leopardus wiedii,,,,0.086172345,,0.052104208,0.102204409,0.080160321
COU,Leopardus wiedii,,,,,0.02004008,0.070140281,0.006012024,0.018036072
CSN,Leopardus wiedii,,0.6,0.6,0.616666667,0.616666667,0.566666667,0.633333333,0.566666667
VB,Leopardus wiedii,0.02004008,0.02004008,0.006012024,0.02004008,0.052104208,0.022044088,0.006012024,0.006012024
YAN,Leopardus wiedii,,,,,0.052104208,0.034068136,0.006012024,0.006012024
YAS,Leopardus wiedii,,,,,0.02004008,0.068136273,0.032064128,0.080160321
NAK,Leopoldamys sabanus,,,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,
PSH,Leopoldamys sabanus,,,,,0.18333333,0.56666667,0.583333333,0.9
BIF,Leptailurus serval,,,0.006012024,0.006012024,0.006012024,0.034068136,,
UDZ,Leptailurus serval,,,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.006012024
BIF,Loxodonta africana,,,0.006012024,0.036072144,0.036072144,0.100200401,,
KRP,Loxodonta africana,,,,,0.068136273,0.070140281,0.102204409,
NNN,Loxodonta africana,,,0.875,0.75,0.640625,0.5625,0.625,
UDZ,Loxodonta africana,,,0.262295082,0.278688525,0.295081967,0.31147541,0.295081967,0.295081967
NAK,Macaca arctoides,,,0.006012024,0.006012024,0.034068136,0.018036072,0.006012024,
BBS,Macaca nemestrina,,,1,0.933333333,1,0.65,0.533333333,
PSH,Macaca nemestrina,,,,,0.98333333,1,1,0.933333333
KRP,Mandrillus leucophaeus,,,,,0.466666667,0.466666667,0.5,
BBS,Manis javanica,,,0.034068136,0.034068136,0.04008016,0.024048096,0.006012024,
NAK,Manis javanica,,,0.006012024,0.006012024,0.006012024,0.018036072,0.006012024,
PSH,Manis javanica,,,,,0.01202405,0.07815631,0.018036072,0.02004008
NAK,Martes flavigula,,,0.034068136,0.02004008,0.018036072,0.006012024,0.006012024,
PSH,Martes flavigula,,,,,0.07214429,0.04208417,0.018036072,0.006012024
CAX,Mazama americana,,,,0.85,,0.55,0.633333333,0.683333333
COU,Mazama americana,,,,,0.783333333,0.683333333,0.733333333,0.783333333
CSN,Mazama americana,,0.716666667,0.833333333,0.85,0.75,0.8,0.8,0.783333333
YAN,Mazama americana,,,,,0.19047619,0.19047619,0.126984127,0.142857143
YAS,Mazama americana,,,,,0.933333333,0.816666667,0.916666667,0.916666667
CAX,Mazama nemorivaga,,,,0.6,,0.45,0.633333333,0.475
CSN,Mazama nemorivaga,,0.833333333,0.616666667,0.716666667,0.616666667,0.65,0.733333333,0.65
YAS,Mazama nemorivaga,,,,,0.45,0.4,0.35,0.666666667
BCI,Mazama temama,,,,0.583333333,0.55,0.633333333,0.583333333,0.633333333
VB,Mazama temama,0.233333333,0.316666667,0.416666667,0.5,0.5,0.533333333,0.55,0.566666667
BIF,Mellivora capensis,,,0.02004008,0.070140281,0.006012024,0.006012024,,
NNN,Mellivora capensis,,,0.034068136,0.052104208,0.120240481,0.087174349,0.084168337,
UDZ,Mellivora capensis,,,0.557377049,0.672131148,0.672131148,0.704918033,0.704918033,0.704918033
NAK,Melogale personata,,,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,
BCI,Metachirus nudicaudatus,,,,0.1,0.133333333,0.166666667,0.15,0.116666667
CAX,Metachirus nudicaudatus,,,,0.133333333,,0.25,0.3,0.166666667
CSN,Metachirus nudicaudatus,,0.133333333,0.5,0.35,0.366666667,0.35,0.333333333,0.333333333
VB,Metachirus nudicaudatus,0.006012024,0.02004008,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024
YAN,Metachirus nudicaudatus,,,,,0.006012024,0.006012024,0.02004008,0.006012024
YAS,Metachirus nudicaudatus,,,,,0.006012024,0.034068136,0.102204409,0.006012024
UDZ,Mungos mungo,,,0.034068136,0.086172345,0.018036072,0.006012024,0.034068136,0.102204409
BBS,Muntiacus montanus,,,0.006012024,0.006012024,0.006012024,0.008016032,0.042084168,
BBS,Muntiacus muntjak,,,1,0.816666667,0.933333333,0.766666667,0.733333333,
NAK,Muntiacus muntjak,,,0.883333333,0.933333333,0.933333333,0.933333333,0.5,
PSH,Muntiacus muntjak,,,,,0.2,0.36666667,0.45,0.4
CSN,Myoprocta acouchy,,0.683333333,0.75,0.7,0.516666667,0.616666667,0.666666667,0.6
COU,Myoprocta pratti,,,,,0.266666667,0.383333333,0.55,0.433333333
YAS,Myoprocta pratti,,,,,0.933333333,0.8,0.816666667,0.75
CAX,Myrmecophaga tridactyla,,,,0.85,,0.7,0.683333333,0.633333333
COU,Myrmecophaga tridactyla,,,,,0.733333333,0.35,0.5,0.45
CSN,Myrmecophaga tridactyla,,0.816666667,0.683333333,0.6,0.483333333,0.433333333,0.4,0.366666667
YAN,Myrmecophaga tridactyla,,,,,0.052104208,0.006012024,0.052104208,0.018036072
YAS,Myrmecophaga tridactyla,,,,,0.4,0.383333333,0.466666667,0.35
BCI,Nasua narica,,,,0.9,0.95,0.8,0.733333333,0.783333333
VB,Nasua narica,0.104208417,0.118236473,0.090180361,0.036072144,0.034068136,0.06012024,0.068136273,0.02004008
CAX,Nasua nasua,,,,0.766666667,,0.683333333,0.633333333,0.583333333
COU,Nasua nasua,,,,,0.102204409,0.086172345,0.036072144,0.102204409
CSN,Nasua nasua,,0.034068136,0.052104208,0.036072144,0.006012024,0.022044088,0.052104208,0.006012024
YAN,Nasua nasua,,,,,0.619047619,0.603174603,0.619047619,0.603174603
YAS,Nasua nasua,,,,,0.616666667,0.75,0.783333333,0.783333333
PSH,Neofelis nebulosa,,,,,0.01202405,0.01202405,0.018036072,0.006012024
RNF,Nesomys rufus,,,,0.766666667,0.616666667,0.483333333,0.4,
UDZ,Nesotragus moschatus,,,0.491803279,0.393442623,0.393442623,0.442622951,0.524590164,0.540983607
BCI,Odocoileus virginianus,,,,0.4,0.366666667,0.4,0.433333333,0.4
CSN,Odocoileus virginianus,,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024
VB,Odocoileus virginianus,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.036072144,0.006012024
NNN,Orycteropus afer,,,0.068136273,0.02004008,0.134268537,0.052104208,0.100200401,
BIF,Pan troglodytes,,,0.25,0.25,0.25,0.283333333,,
NNN,Pan troglodytes,,,0.7734375,0.703125,0.625,0.5625,0.75,
CAX,Panthera onca,,,,0.466666667,,0.433333333,0.408333333,0.366666667
COU,Panthera onca,,,,,0.516666667,0.383333333,0.416666667,0.35
CSN,Panthera onca,,0.7,0.566666667,0.433333333,0.416666667,0.4,0.366666667,0.383333333
VB,Panthera onca,0.006012024,0.006012024,0.02004008,0.006012024,0.018036072,0.022044088,0.018036072,0.006012024
YAN,Panthera onca,,,,,0.02004008,0.02004008,0.052104208,0.118236473
YAS,Panthera onca,,,,,0.02004008,0.086172345,0.032064128,0.134268537
NNN,Panthera pardus,,,0.484375,0.484375,0.40625,0.40625,0.4375,
PSH,Panthera pardus,,,,,0.07214429,0.04208417,0.006012024,0.052104208
UDZ,Panthera pardus,,,0.052104208,0.034068136,0.102204409,0.066132265,0.034068136,0.036072144
BBS,Panthera tigris,,,0.068136273,0.068136273,0.058116232,0.086172345,0.042084168,
BIF,Papio anubis,,,0.266666667,0.183333333,0.183333333,0.2,,
UDZ,Papio cynocephalus,,,0.052104208,0.006012024,0.018036072,0.006012024,0.018036072,0.02004008
BBS,Pardofelis marmorata,,,0.006012024,0.02004008,0.006012024,0.008016032,0.042084168,
NAK,Pardofelis marmorata,,,0.052104208,0.02004008,0.018036072,0.018036072,0.006012024,
PSH,Pardofelis marmorata,,,,,0.01202405,0.01202405,0.018036072,0.006012024
BBS,Pardofelis temminckii,,,0.034068136,0.034068136,0.006012024,0.024048096,0.042084168,
NAK,Pardofelis temminckii,,,0.006012024,0.006012024,0.018036072,0.006012024,0.018036072,
BCI,Pecari tajacu,,,,0.8,0.716666667,0.766666667,0.766666667,0.816666667
CAX,Pecari tajacu,,,,0.95,,0.95,0.95,0.466666667
COU,Pecari tajacu,,,,,0.466666667,0.533333333,0.75,0.55
CSN,Pecari tajacu,,0.816666667,0.666666667,0.533333333,0.5,0.516666667,0.516666667,0.466666667
VB,Pecari tajacu,0.533333333,0.533333333,0.483333333,0.5,0.533333333,0.516666667,0.616666667,0.55
YAN,Pecari tajacu,,,,,0.587301587,0.444444444,0.428571429,0.412698413
YAS,Pecari tajacu,,,,,0.825,0.866666667,0.908333333,0.933333333
UDZ,Petrodromus tetradactylus,,,0.02004008,0.034068136,0.066132265,0.052104208,0.034068136,0.02004008
BIF,Phataginus tricuspis,,,0.006012024,0.036072144,0.02004008,0.006012024,,
KRP,Phataginus tricuspis,,,,,0.483333333,0.366666667,0.233333333,
NNN,Phataginus tricuspis,,,0.034068136,0.006012024,0.034068136,0.02004008,0.084168337,
YAS,Philander andersoni,,,,,0.02004008,0.006012024,0.006012024,0.006012024
BCI,Philander opossum,,,,0.02004008,0.02004008,0.006012024,0.02004008,0.038076152
COU,Philander opossum,,,,,0.008333333,0.2,0.35,0.166666667
CSN,Philander opossum,,0.316666667,0.35,0.316666667,0.116666667,0.1,0.166666667,0.15
VB,Philander opossum,0.006012024,0.02004008,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.02004008
KRP,Philantomba monticola,,,,,0.783333333,0.866666667,0.9,
NNN,Philantomba monticola,,,1,1,1,0.984375,0.984375,
BIF,Potamochoerus larvatus,,,0.25,0.366666667,0.316666667,0.333333333,,
RNF,Potamochoerus larvatus,,,,0.133333333,0.3,0.383333333,0.45,
UDZ,Potamochoerus larvatus,,,0.344262295,0.393442623,0.393442623,0.426229508,0.409836066,0.426229508
KRP,Potamochoerus porcus,,,,,0.3,0.416666667,0.333333333,
NNN,Potamochoerus porcus,,,0.53125,0.75,0.453125,0.671875,0.828125,
CAX,Priodontes maximus,,,,0.034068136,,0.034068136,0.102204409,0.018036072
COU,Priodontes maximus,,,,,0.716666667,0.55,0.633333333,0.633333333
CSN,Priodontes maximus,,0.616666667,0.533333333,0.483333333,0.45,0.433333333,0.4,0.383333333
YAS,Priodontes maximus,,,,,0.02004008,0.102204409,0.0501002,0.080160321
BBS,Prionailurus bengalensis,,,0.02004008,0.006012024,0.04008016,0.024048096,0.022044088,
NAK,Prionailurus bengalensis,,,0.070140281,0.034068136,0.068136273,0.068136273,0.054108216,
PSH,Prionailurus bengalensis,,,,,0.01202405,0.07815631,0.018036072,0.036072144
PSH,Prionailurus planiceps,,,,,0.01202405,0.01202405,0.018036072,0.006012024
BBS,Prionodon linsang,,,0.02004008,0.006012024,0.022044088,0.008016032,0.022044088,
PSH,Prionodon linsang,,,,,0.04008016,0.04208417,0.006012024,0.006012024
BCI,Procyon cancrivorus,,,,0.034068136,0.036072144,0.006012024,0.054108216,0.006012024
COU,Procyon cancrivorus,,,,,0.02004008,0.036072144,0.052104208,0.034068136
CSN,Procyon cancrivorus,,0.006012024,0.02004008,0.036072144,0.02004008,0.006012024,0.006012024,0.006012024
YAN,Procyon cancrivorus,,,,,0.02004008,0.006012024,0.006012024,0.006012024
YAS,Procyon cancrivorus,,,,,0.052104208,0.034068136,0.0501002,0.018036072
VB,Procyon lotor,0.006012024,0.006012024,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.006012024
COU,Proechimys brevicauda,,,,,0.083333333,0.516666667,0.833333333,0.733333333
CSN,Proechimys cuvieri,,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.02004008,0.006012024
CSN,Proechimys guyannensis,,0.2,0.4,0.5,0.5,0.333333333,0.183333333,0.183333333
BCI,Proechimys semispinosus,,,,0.65,0.45,0.35,0.366666667,0.383333333
VB,Proechimys semispinosus,0.070140281,0.086172345,0.006012024,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024
CAX,Puma concolor,,,,0.566666667,,0.583333333,0.566666667,0.55
COU,Puma concolor,,,,,0.383333333,0.316666667,0.3,0.316666667
CSN,Puma concolor,,0.102204409,0.134268537,0.108216433,0.036072144,0.062124248,0.052104208,0.076152305
VB,Puma concolor,0.088176353,0.086172345,0.036072144,0.02004008,0.018036072,0.04008016,0.118236473,0.074148297
YAN,Puma concolor,,,,,0.070140281,0.102204409,0.034068136,0.052104208
YAS,Puma concolor,,,,,0.116666667,0.433333333,0.5,0.533333333
BCI,Puma yagouaroundi,,,,0.006012024,0.036072144,0.102204409,0.006012024,0.02004008
CAX,Puma yagouaroundi,,,,0.006012024,,0.006012024,0.032064128,0.006012024
COU,Puma yagouaroundi,,,,,0.034068136,0.02004008,0.006012024,0.034068136
CSN,Puma yagouaroundi,,0.068136273,0.102204409,0.02004008,0.036072144,0.101202405,0.122244489,0.076152305
VB,Puma yagouaroundi,0.02004008,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024,0.006012024
YAN,Puma yagouaroundi,,,,,0.052104208,0.052104208,0.034068136,0.018036072
YAS,Puma yagouaroundi,,,,,0.733333333,0.533333333,0.616666667,0.516666667
RNF,Rattus rattus,,,,0.05,0.45,0.333333333,0.216666667,
PSH,Rhinosciurus laticaudatus,,,,,0.01202405,0.04208417,0.006012024,0.036072144
PSH,Rhizomys sumatrensis,,,,,0.04008016,0.01202405,0.006012024,0.006012024
UDZ,Rhynchocyon cirnei,,,0.052104208,0.052104208,0.032064128,0.006012024,0.018036072,0.052104208
UDZ,Rhynchocyon udzungwensis,,,0.31147541,0.31147541,0.295081967,0.295081967,0.295081967,0.295081967
BBS,Rusa unicolor,,,0.6,0.216666667,0.2,0.233333333,0.166666667,
PSH,Rusa unicolor,,,,,0.01202405,0.04208417,0.0501002,0.02004008
BCI,Sciurus granatensis,,,,0.316666667,0.4,0.4,0.383333333,0.433333333
VB,Sciurus granatensis,0.006012024,0.034068136,0.006012024,0.006012024,0.018036072,0.006012024,0.006012024,0.006012024
COU,Sciurus ignitus,,,,,0.6,0.583333333,0.516666667,0.516666667
COU,Sciurus igniventris,,,,,0.006012024,0.006012024,0.02004008,0.006012024
YAS,Sciurus igniventris,,,,,0.816666667,0.666666667,0.7,0.5
COU,Sciurus spadiceus,,,,,0.006012024,0.006012024,0.121242485,0.006012024
YAN,Sciurus spadiceus,,,,,0.015873016,0.365079365,0.365079365,0.349206349
RNF,Setifer setosus,,,,0.02004008,0.006012024,0.150300601,0.006012024,
